Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Accounting Officer/เจ้าหน้าที่บัญชี,"Nathalin Co., Ltd. (The Trinity Company Limited)","Vadhana, Bangkok",Financial Accounting & Reporting,Full time,,,"Prepare and verify bank reconciliation. Account Receivable – Verify receipt of payment, issue tax invoice, reconciliation with output VAT report and, review and update receipt of payment. Accounts Payable – Verify payments in accordance with approved invoice/cost and manage processing of payments within deadlines, liaise with suppliers and owners on invoicing, billing, and reconciliation. Record accounting transaction into system properly for bank, AP, AR and journal voucher. Perform tasks relevant to company taxation and send to Accounting manager to review. Prepare VAT returns, output VAT report, input VAT report. Prepare WHT returns and attachments. Manage timely submission tax returns via e-filing and related payroll payment. Support month end closing and prepare reconciliation of balance sheet in Accouning Team format. Maintenance of Fixed Asset Register. Deal with Accounting  team for any queries. Support Accounting manager in local audit and coordinate with other external bodies e.g. bank. Continuously looks for process improvement opportunities. Perform other ad-hoc duties as assigned. Qualifications: Bachelor's Degree or Master's Degree in Accounting 3-5 year working experience in accounting, finance Fast-learning, can-do attitude, well-organized and self-enthusiasm Good knowledge of MS Dynamic AX Loyalty, Analytical skills, active, strong team spirit, and willing to work hard Can start immediately would be an advantage"
Accountant (Junior Level),"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด ","Pak Kret, Nonthaburi",Taxation,Full time,,,"Job Summary The Accounting Staff for General Ledger (GL) & Taxation plays a crucial role in maintaining accurate financial records, managing the general ledger, and ensuring compliance with tax regulations. This position requires meticulous attention to detail, strong analytical skills, and a comprehensive understanding of accounting principles and taxation laws. The Accounting Staff will collaborate with various departments, support financial reporting, and contribute to the overall success of the finance team. Job Responsibilities General Ledger Management: Record and maintain daily financial transactions, including journal entries and adjustments, to ensure accuracy in the general ledger. Reconcile accounts regularly to identify discrepancies and rectify errors promptly. Assist in the month-end and year-end closing processes, including preparation of financial statements and related schedules. Tax Compliance: Prepare and file accurate tax returns, including income tax, sales tax, and other relevant taxes, adhering to relevant laws and regulations. Stay updated with changes in tax laws and regulations and ensure the organization's compliance. Calculate tax provisions and deferred tax assets/liabilities for financial reporting purposes. Financial Reporting: Collaborate with the finance team to generate various financial reports, analyze financial data, and provide insights to support decision-making processes. Assist in preparing financial statements and schedules required for audits and regulatory reporting. Compliance and Documentation: Maintain organized and up-to-date financial records, ensuring that all transactions and documents are accurately recorded and stored securely. Implement internal controls to safeguard financial information and prevent fraudulent activities. Audit Support: Support external auditors during periodic audits by providing requested documentation and explanations related to general ledger and taxation matters. Process Improvement: Identify opportunities for process improvements in accounting and taxation procedures, streamlining workflows, and enhancing efficiency. Cross-Functional Collaboration: Collaborate with other departments, such as finance, legal, and operations, to address accounting and taxation-related queries and provide support as needed. Other Ad-Hoc assignments. Qualifications New grads are welcome Bachelor's degree in Accounting or a related field. Previous experience in accounting, general ledger management, and tax compliance is preferred. Strong knowledge of accounting principles, tax regulations, and financial reporting standards. Proficiency in using accounting software and tools. Excellent attention to detail and accuracy in data entry and financial analysis. Analytical mindset and problem-solving skills to identify and resolve discrepancies. Effective communication and interpersonal skills to collaborate with various stakeholders. Ability to work under tight deadlines and handle multiple tasks efficiently. Strong ethical standards and commitment to maintaining confidentiality of financial information. Working Location: Pak kret, Nonthaburi ( Google map ) Contact: K.Vanatip (Bua) 096-776-0675 - Please note that only shortlisted candidates will be contacted -"
ACCOUNTING OFFICER (COSTING & INVENTORY)/พนักงานบัญชีด้านต้นทุนและสินค้า,"Gentlewoman Co., Ltd.","Pathum Wan, Bangkok",Financial Accounting & Reporting,Full time,,,"Responsibilities Responsible for cost accounting and able to set up a cost accounting in system to calculate the cost of each product, considering the cost of raw materials, labor costs and production costs with an appropriate allocation Responsible for standard costing, cost allocation, production calculation Supervise and control cost calculation in ERP system Develop and maintain cost accounting systems, policies, and procedures for accurate tracking and reporting of manufacturing costs Control and audit cost accounts Prepares daily operating performance analysis; including inventory movements, sales, and cost of goods sold to identify significant issues in a timely fashion Prepare monthly inventory and costing report, inventory aging and other reports which related to cost matter Able to analyze the actual costs incurred with the standard costs incurred and analyze the causes and factors Check and control the inventory count and reconciliation in the system as well as adjusting accounting entries, on monthly and yearly basis Conduct regular inventory reconciliations and oversee physical inventory counts Prepare cost of goods sole and inventory reports for the financial statements, providing management with accurate and timely information for decision-making Monitor and evaluate production costs, identifying areas for cost reduction and process improvement Ensure compliance with accounting principles, financial regulations, and company policies Coordinate with store team, accounting team and related parties to ensure a smooth inventory count and transactions Perform other related duties as assigned Reconciliation and Accounting Closing Prepare breakdown detail and perform inventory reconciliations Performs monthly inventory valuation and reconciliation of cost ledgers Perform monthly accounting closing in the part of inventory and costing by the deadline Qualifications Bachelor’s degree in accounting or related fields 5-8 years’ experience in Inventory and Cost Accounting in retail industry Strong knowledge of cost accounting principles, practices, and standards Proficiency in using cost accounting software and ERP systems Proficiency in Microsoft Excel for data analysis and reporting Proactive attitude with the ability to implement solutions to problems Positive attitude, responsible, willingness to learn and self-motivated Strong interpersonal and communication skills to collaborate effectively with cross-functional teams Ability to work independently, prioritize tasks, and meet deadlines in a fast-paced environment Availability to start work immediately would be a plus ** Benefit Social Security / Group Insurance 5 working days a week / Holiday on Sat-Sun Office hours: Monday - Friday / 10 AM - 7 PM"
Business Decision Support Executive (Finance & Accounting background required),Nestle (Thai) Ltd.,"Pathum Wan, Bangkok",Other,Full time,,,"We’re Nestlé, We’re the biggest food and beverages company in the world who believe in “enhancing quality of life and contributing to a healthier future.” Join us and be part of Nestlé to drive over 2,000 brands in 191 countries worldwide, if you; Love to analyze data Love numbers Love to deal with multiple stakeholders POSITION SNAPSHOT Location: Head Office, Bangkok Company: Nestlé Business Unit/Division: Finance and Control Full-time (Hybrid) 2- 5 years of working experience in commercial finance or audit A DAY IN THE LIFE... Support the business co-pilots to ensure delivery of high quality reporting and analysis as agreed with business units for example Monthly Performance Reports, Monthly Dynamic Forecast, Selling Price Calculations, other KPIs related to the categories and business units Support the Decision Supporting Manager to prepare necessary information using in the Monthly Business Planning Meeting by establishing financial forecast based on output from Monthly Sales Review Prepare analysis for studies requested by business co-pilots, or corporate projects as required, for example portfolio rationalization, marketing spends effectiveness (Pre-post evaluation), financial scenario studies of new product launch for management's decisions (go/no go), CAPEX proposals, benchmarking studies (e.g. competitors) Ensure efficiency and quality of Management Accounting processes with regard to speed and quality of the output Provide allocation assumptions to Reporting Team when necessary ARE YOU A FIT? Bachelor degree in Accounting, MBA OR FINANCE 2 -5 years of experience in Business Analyst or Auditing Good Command of English FMCG manufacturing/ Trading Experience is an advantage *** Only shortlisted candidates will be notified ***"
Senior Accountant / Head of Accounting Team,Go Vacation Thailand,"Bang Rak, Bangkok",Financial Accounting & Reporting,Full time,,,"Qualifications: Bachelor Degree in Accounting At least 5 year experience in closing the monthly/yearly account and reconciliations of accounts Good command of spoken and written English Good internal control concepts, and good accounting & administrative disciplines Able to lead and supervise accounting team (group size 5 persons) Loyalty, Analytical skills, active, strong team spirit, and willing to work hard Strong personality, and able to work with minimum supervision Computer literate in Microsoft Excel, and Microsoft Word, email, internet Main duties: Verify suppliers invoices for payment purpose Reconcile the major General Ledger accounts on monthly basis Provide some advice to all accounting team colleagues when appropriate Control fund receipt, and payment Liaise with suppliers and our overseas partners when necessary Assist preparing some management and analysis reports Oversee all accounting functions of Accounting Department Handle various accounting tax matters Assist Accounting Manager to close monthly & yearly account closing Interested applicants shall send their curriculum vitae indicating their work experience, a recent photograph and the present and expected salary via APPLY NOW or address below: Go Vacation Thailand DER Asia Tours Co., Ltd. Khun Nicha Minkhuntod / Senior Manager HR & Administration 152 Chartered Square Building (BTS Surasak), 25th Floor, North Sathorn Road, Bangrak, Bangkok 10500 Tel. (66) 2 267 1202-4, Fax. (66) 2 267 1128 Website :  www.go-vacation.com"
Accounting & Finance Manager (Prachin - buri),JAC Recruitment Thailand,Prachin Buri,Financial Accounting & Reporting,Full time,,,"Position: Accounting & Finance Manager ( Prachin - buri) Salary Range: 50,000 THB – 80,000 THB Location: Prachin - buri Business: Electronic Responsibilities: All accounting and finance functions including monthly closing, AR, AP, cash flow, taxation, reporting and forecasting. Execution and coordination of accounting closing activities. Prepare month-end and analysis of closing reporting, and account reconciliation. Daily monitoring of accounting activities. Prepare budgeting, monthly forecast of P/L. Prepare statutorily financial statement and work closely with auditors and external parties on financial and accounting issues. Interact with revenue department related to taxation issue. Training/supervise team member concerning Company’s accounting procedures and policies. Tax Control, Consolidate packages. Qualification: Bachelor's degree in Accounting, CPD is preferred. Experience as an Accounting Manager, handling over all accounting and finance function Good command in both Thai and English in writing and speaking. Interested candidate, please send your resume in English (Word format only) along with your recent photo and expected salary to us by E-mail 10F Emporium Tower  622 Sukhumvit Soi 24 Klongton, Klongtoey, Bangkok 10110    T: +66 2 261 1270 , Tel : 087-081-0022"
Manager - Accounting Receivable/ผู้จัดการบัญชีลูกหนี้,"Yan Wal Yun Corporation Group Co., Ltd.","Sathon, Bangkok",Financial Accounting & Reporting,Full time,,,"Monitor daily operations in the Accounts Receivable Department. Prepare financial statements report and support the closing process to prepare monthly/annual financial statements Supervise and verify the payment of remuneration for sales staff and selling expenses in accordance with the company's policy Verify the reconciliation of transactions and prepare accounting reports such as accounts receivable aging reports, debt collection report, sales tax report, and other accounting reports Organize records of invoices, bills and deposits Control, follow up and support debt collection process, overdue debt collection Coordinate with customers to resolve issues related to the payment process Encourage and support team member. Develop work process to be efficient. Collaborate with auditors, Revenue Department and external agencies Other tasks as assigned Qualification: Bachelor's degree in Accounting Experience more than 5 years in Accounting Receivable Familiarity with advanced formulas in MS Excel Able to use ERP (SAP) program Excellent analytical skills, systematic thinking, and time management Benefits : Working hour: Monday-Friday, 08:30-17:30 Annual bonus & Variable bonus Salary & Performance reviews Career path support policy Group insurance Accident insurance Annual health check up Provident fund Retirement fund Long service Award Diligent allowance Scholarship for employees' child Special subsidy Monthly free products How to apply Click APPLY NOW to submit your application. Human Resources Department Yan Wal Yun Corporation Group Co.,Ltd.767 Wat Pai Ngoen Rd, Tung Wat Don, Sathorn Bangkok 10120 Mobile : 066-0982452 ID Line : hrrecruitmentdsb www.deksomboon.com"
Managerial Accounting Manager (Consolidation),Central Group (Central Pattana Public Company Limited),"Pathum Wan, Bangkok",Audit - External,Full time,,,"Responsibilities: Ensure accounting information is accurate and complete to prepare the consolidated financial statements successfully Prepare monthly consolidated financial statements with an emphasis on accuracy according to accounting standards and financial reporting standards to present to executives monthly Control the preparation of financial statements in accordance with accounting standards Prepare consolidated financial statements and Notes to consolidated financial statements with accounting standards and financial reporting standards quarterly and annually. Prepare an annual report on accounting information and prepare information for the issuance of debentures Liaise with External audit for preparation of statutory financial statements and Internal audit to review work processes and ensure compliance with policies & procedures Qualifications: Bachelor’s degree in accounting or higher in Finance or related field Minimum 5 years’ work experience in consolidation accounting, managerial   accounting, or related field Experience in external audit firm is highly required Strong knowledge of accounting standards and financial reporting standards Strong analytical, leadership and team-working skills is highly required Good command of English both spoken and written"
Senior Accountant AR,"Solmax Geosynthetics Co., Ltd.","Chatuchak, Bangkok",Financial Accounting & Reporting,Full time,,,"JOB SUMMARY The Senior Accountant AR will have main  responsibility for record account receivable transaction into system correctly as well as maintain  customer 's data in compliance with Global credit policies.And support relevant reports as required. JOB PURPOSE Primary duties: Day to day on monitor credit limit before release sale order. Monitor sales booking and AR collection and follow up. Supervise Associate AR accountant and offer support if needed. Ensure on-time posting of all  invoices for monthly closing. Coordinate with CX team for export documents and maintain in compliance with TRD. Monitor customers account details for non-payments delayed payments and other irregularities. Handling all customers issues  in coordination with CX department. Prepare and record allowance for doubtful debts, if necessary. Prepare  weekly aging report and cashflow. Liaise within team to ensure compliance on the output VAT. Assist in reconciliation of balance sheet accounts on monthly basis and year end. Prepare gross profit analysis report monthly and yearly. Record expense of Bangkok office and sale commision. Responsible in recording Tax and other expense of Australia entity, including verifying financial statement. Petty cash holder and recording to re-imburse. Support Financial Controller and Accounting Manager in preparing monthly and yearly supporting schedules or worksheets for audit and tax purposes. Issue sale invoice / free tax invoice (other charged) to InterCompany. Coordinate with auditors and be the contact point of Sale and AR analysis. Other duties Performs special projects as required from time to time. Other ad hoc assigned by Thailand  Financial controller / APAC Financial controller. POSITION REQUIREMENT EDUCATION Bachelor's  Degree in Accounting EXPERIENCE At least 5 years Experience in accounting function SKILLS / COMPETENCIES REQUIREMENTS Knowledge in Thai accounting standards, familiar with Thai revenue codes, import-export documents, BOI privilege, document control, billings, accounts control, credit control management. Knowledge of basic banking documents (e.g. Letter of credit knowledge). Good command in English. Strong communication with overseas customers. Strong computer knowledge and efficiently to operate in Windows environment ; MS Office, accounting software (preferably Microsoft Dynamic AX). Abilities to work with mathematical concepts, abilities to apply functions, percentages, ratios, and proportions to practical situations and applications. Self-starter with the abilities to work independently and a good team player."
Senior Internal Audit Executive,AURORA DESIGN PUBLIC COMPANY LIMITED,"Bang Na, Bangkok",Audit - Internal,Full time,,,-จัดทำแนวทางการตรวจสอบภายในบริษัท กำหนดวิธีการตรวจสอบ เลือกตัวอย่างข้อมูล และการใช้เทคนิคในการตรวจสอบ -ตรวจสอบขั้นตอนการทำงานและข้อบกพร่อง รวมทั้งเสนอแนวทางการแก้ไขให้กับแผนกต่างๆ ในบริษัทฯ -ปฎิบัติงาน ตรวจสอบรวบรวมหลักฐานการตรวจ /รวบรวม วิเคราะห์ และประเมินผลข้อมูลที่ได้จากการตรวจสอบ -สรุปผลตรวจสอบและรายงานการตรวจสอบ -รับผิดชอบการรตรวจสอบการปฏิบัติตามกฎเกณฑ์ (Compliance Audit) สวัสดิการ เบี้ยขยัน ชุดยูนิฟอร์ม ประกันสังคม ค่าล่วงเวลา วันหยุดพักผ่อนประจำปี ปรับเงินเดือนประจำปี สิทธิเบิกค่ารักษาพยาบาลพนักงานและบุตร กองทุนสำรองเลี้ยงชีพ (Provident Fund) อาหารกลางวันฟรี โบนัสประจำปี
Senior Accountant,"GLOHOW CO., LTD.","Phra Khanong, Bangkok",Business Services & Corporate Advisory,Full time,,,"Senior Accountant Our Senior Accountant plays a pivotal role in overseeing finance and accounting operations for various entities, including the Singapore Holding company and subsidiaries in Thailand, Taiwan, Vietnam, and Korea. You will work collaboratively with a dynamic team to ensure financial health and compliance. Your responsibilities encompass: Responsibilities: Overseeing finance and accounting for multiple countries. Providing expert accounting advice. Supervising bank reconciliation and reviewing daily transactions. Managing tax reports, sales invoices, and petty cash. Preparing financial reports, including profit and loss statements. Monitoring balance sheet reconciliations and handling ad-hoc finance tasks. Engaging with auditors, banks, and revenue departments. Coordinating with local and overseas auditors and tax consultants. Communicating with outsourced accounting firms. Providing support for annual financial audits. Managing daily bookkeeping and reconciling company bank accounts. Preparing detailed reports for other teams. Reviewing and proofreading daily accounting work and tax filings. Ensuring accuracy, accountability, and compliance with financial procedures. Coordinating with third parties, such as overseas accounting and tax agencies. Providing expert advice to other teams and stakeholders. Supporting ad-hoc finance-related reports as assigned. Qualifications: Bachelor's or Master’s Degrees in Finance or Accounting. At least 5 years of experience in a full set of Accounting. Background in IT and the e-commerce industry is most considered. Proficiency in computer skills (Microsoft Office and Google G-Suite). Strong command of the English language. Fast learner with a can-do attitude and a flexible mindset. Team player abilities combined with the capability to work independently. Excellent coordination skills and relationship management. Experience or familiarity with Odoo ERP. Keen attention to detail with error identification and correction abilities. Strong sense of responsibility and self-initiative. Ability to speak or understand Korean or Chinese is an advantage. Benefits: The perks of working with us; Free training prior to the work. Five-day work week 09:00 am. to 06:00 pm When your life works, Your work works! Glohow Special Leave Birthday Leave TGIS (Thank God Its Six Hour Today!) Personal Leave Annual leave Happiness comes first, let's enjoy our treats! Company Trip (Playshop) Cafe Station Beer Bar Festival Event Birthday Event Because your good health is our secret weapon! Social Insurance Health Insurance Annual Health Check-up Work at Glohow: Global Working Environment Constantly learning and growing in the global working environment, you are encouraged to experience different areas of business across various countries. Diversity Work with an open mindset and allow people to share their ideas to develop a multinational and multicultural organization that respects diverse ideas to accomplish the final result. Specialty Improvement With the diversity, individuality, and charm of every member of Glohow, our warm working culture encourages all members to grow and improve. Every member has their own specialty and skillset - so we call each other by our names, not by our positions or levels. Don't hesitate and let's get global together www.glohow.com [link removed]"
Senior Accounting Manager,Mazars (Thailand) Ltd.,"Sathon, Bangkok",Taxation,Full time,,,"We require a Senior Accounting Manager to support the development of an already successful Accounting Practice. Your day to day role will be to manage a team responsible for providing outsourced accounting services to a portfolio of clients. As team leader you will expected to: Prepare accounting reports for use by client’s management Prepare financial statements for statutory purposes Ensure that the accounting services provided by your team are completed on time whilst maintaining a high standard of quality Develop strong client relationships Motivate, develop and train the accountants within your team Improve the efficiency of your team to perform accounting services within budget. Where there are budget overruns, identify the causes and implement solutions Support the preparation of proposals to prospective clients You will support the Partners of the Accounting Practice to develop the Practice’s quality controls and internal processes, use of technology, management information systems and training programs. You may be required to undertake the role of your client’s Financial Controller, providing their Board of Directors with relevant analysis, value-added and business-oriented comment on their financial results. You will also have the opportunity to perform one-off assignments such as establishing accounting process, control procedures or supporting business advisory projects. Qualifications: Bachelor Degree in Accounting Minimum 10 years experience in the accounting field preferably with an international company Strong knowledge of the Thai Revenue Code Computer literate and familiar with several accounting applications Highly competent in both written and spoken English CPA, Tax Auditor, or other international accounting qualification will be considered as a plus Strong technical skills, for example: IFRS, US GAAP, cost accounting, financial services or international taxation Eager to build on existing skills and develop management and leadership skills for a successful career Proactive attitude with proven ability to implement solutions to problems Able to work under pressure and to tight deadlines."
Internal Audit Manager,PRTR,"Khlong Toei, Bangkok",Audit - Internal,Full time,,,"Our client is an IT service provider, looking for an Internal Audit Manager to support as following details. Responsibilities Directly reporting to the Group's Internal Audit Manager. Engaging in planning and drafting of the audit programs and questionnaires. Performing Financial, Operational and Compliance audits in the company and its subsidiaries. Discussing and understanding with the auditee on the audit findings and getting their concurrence on the proposed recommendations. Preparing formal written audit reports. Timely follow-up with the auditee on the agreed recommendations. Performing monthly data analysis according to instructions. Performing audits at other countries in the group if needed. Supervizing and guiding staff. Qualifications Bachelor’s Degree in Accountancy/Finance. Good command of English communication skills Management and leadership skills, experienced in managing a team. Strong in Company Act and Business law. Experienced as External Audit or Internal Audit is a must."
Senior Accounting/เจ้าหน้าที่บัญชีอาวุโส,"APEX LOGISTICS INTERNATIONAL (THAILAND) CO., LTD.","Huai Khwang, Bangkok",Taxation,Contract/Temp,,,"Apexlogistics- We Deliver Passion Good Reasons to Join with Apex ! Are you looking for an exciting new opportunity to show case your skills? If so, then this is the perfect chance, within the greatest global logistics company. Urgent ! Senior Accounting 1 Position Key Responsibilities : Handle accounting operations - AP, AR, Fixed Assets, TAX, and payment. Lead and develop accounting operation to ensure that all activities are completed accurately and on time Managed and controlled document filing to align to company policy Liaises with the Revenue Department in regards to all local tax and regulations and corporate income tax return. Liaise with external auditors in regards to audit reports Review inter-company reconciliation accounts Any other related duties as assigned. Job Requirement : Bachelor Degree in Accounting. Experience 3-5 years for Accounting Closing month-end and year-end, reporting, CIT and experience to prepare other report for support top management including submit reporting package. Strong knowledge on Microsoft Offices Program especially Excel. Good communication in English. If having experience working with Logistics , freight forwarding business would be advantage. Benefits : Salary negotiate depend on experience. Social Security fund. Group Health & Life insurance. Annual health checkup & Vaccine. Annual leave will be added to each additional year of service, with maximum 15 days Annual company trip, Outing Money support for birth child, Employee & Family Death, Marriage of employee. Telephone allowance Bonus 5 days working per week, Monday - Friday 09.00 - 18.00 hrs. Employment contract : Start first year = 1 year contract Second year = 3 years contract After finish 3 years contract = Permanent If you are passionate, driven and looking for a new and exciting opportunity within a successful and growing company, this may be the right rold for you. Please click ""Apply Now"" to submit your application. All personal information submitted by job applicants will used for recruitment purposes and we reserve the right to  consider the applications for other positions in our Group. Our Head Office located : Apex Logistics International (Thailand) Co.,Ltd Singha Complex, Unit 1405-1406., Floor 14., 1788 New Petchaburi Road., Bang Kapi sub-district., Huai Khwang district., Bangkok., 10310 Contact person : Namtip Suklert ( 094-494-3209 )"
Accounting Consultant (30K–40K) (SDG-101615)/เจ้าหน้าที่ฝ่ายที่ปรึกษาบัญชี,"RGF HR Agent (Thailand) Co., Ltd.","Pathum Wan, Bangkok",Taxation,Full time,,,"<Job responsibilities> Execute daily accounting tasks Proceed monthly-end and yearly-end closing (BS/PL) Manage tax applications such as Withholding tax (1,3,53,54), Income tax (Por Ngor Dor 50, 51), VAT (PP 30,36) Manage cash flow and the bank account Prepare necessary documents for each party Coordinate with auditors, banks and Revenue Department (tax issue) Prepare and analyze the financial documents to report to Japanese Bookkeeping Do the same tasks to external parties as a consultant according to client's request and situation Other tasks as assigned *Visit client site 7-10 days per month *The location will be mainly BKK area <Necessary Skill / Experience > Bachelor's degree At least 1 year experience in overall accounting tasks Holding CPD license or be able to register immediately Conversational middle level of English (Communicate with internal Japanese) Person who is detail-oriented Person who has teamwork mindset to update and support situation frequently Person who is willing to step up to acquire consulting skill <Preferable Skill / Experience> Working experience in Japanese or MNC company Working experience in consulting about accounting *Such as auditor, accounting consultant or experience in accounting firm Language Skill English level : Conversational Japanese level : None Workplace Area: BTS Ploen Chit Working Hour: 9:00-17:30(Mon - Fri) About the Benefits 30,000–40,000THB About the company Product & Service:     Accounting consulting service Business Type:          IT Solutions / IT Consulting;Auditing Firm / Accounting Firm; HOW TO APPLY *** Please submit your resume with recent photo , your current & expected salary , and reference: Accounting Consultant (30K–40K) (SDG-101615) *** any query regarding this Job or application method, please call Tel. 02-021-0333 689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306 Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 10110 Website: www.rgf-hragent.asia and find us on Facebook: RGF Thailand"
Audit Manager,Mazars (Thailand) Ltd.,"Sathon, Bangkok",Audit - External,Full time,,,"Job Description: Provide management over a portfolio of clients and deliver high quality audit services, including  preparing and reviewing audit work. Manage financial performance, including preparing budgets, invoicing and collection. Maintain a high technical and professional standard. Understand Mazars' audit methodology. Participation in preparation of audit and special project proposals and contributing to successful completion of these projects. Identify ways to develop further business opportunities and deliver added value. Monitor and control audit staff ensuring high quality and efficiency. Carry out practice management activities e.g. technical research, training development and delivery. Undertake wider office responsibilities when required. Qualifications: Bachelor's Degree in Accounting CPA qualification required. A positive and self-motivated attitude, willing to learn and be a good team player. Proven auditing capability with a minimum of 6 years relevant working experience. High technical ability, excellent interpersonal and leadership qualities. Confident communication and presentation skills, able to discuss complex issues with senior internal and client personnel. Good command of English language, both written and spoken."
Accounting officer/พนักงานบัญชี,"M C GAS & PETROCHEMICALS CO., LTD.",Chiang Rai,Taxation,Full time,,,หน้าที่และความรับผิดชอบ ตรวจสอบความถูกต้องของเอกสารทางบัญชี จัดทำบัญชีและบันทึกบัญชีเจ้าหนี้-ลูกหนี้ และค่าใช้จ่ายที่เกี่ยวข้องลงโปรแกรมบัญชี ออกเอกสารเกี่ยวกับบัญชี เช่นใบแจ้งหนี้/ใบวางบิล/ใบเสร็จรับเงินหรือเอกสารอื่นๆที่เกี่ยวข้อง ทำรายงานทั่วไป และปฎิบัติงานอื่นๆที่ได้รับมอบหมาย ติดต่อประสานงานกับหน่วยงานทีเกี่ยวข้อง คุณสมบัติ วุฒิการศึกษาระดับปวส. - ปริญญาตรีสาขาการบัญชี มีทักษะการใช้โปรแกรมMicrosoftOfficeได้ดี มีความรู้ความเข้าใจระบบงานบัญชีและบัญชีภาษีอากร มีความคล่องตัวในการปฎิบัติงานและมีความสามารถในการสื่อสารได้ดี
URGENT!!! - Accounting- BTS - Japanese Company - Up to 28.1k+allowance -...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Business Services & Corporate Advisory,Full time,,,"Position : Accounting Work Location: BTS Asoke Salary: Up to 28.1k+allowance Job description: Responsible for AR, AP and Finance functions. Handle petty cash and follow-up for internal reimbursement. Create payment requests on the internet banking systems. Issue financial documents and taxes. Keep track of the outstanding balance of the company. Reconciliation, prepare financial reports related documents and record weekly. Verify the correctness of financial-tax documents and assist for monthly closing. Coordinate with the accounting firm, banks, customers, suppliers, auditor, shareholders, and related organizations. Other tasks assigned by supervisors Qualifications : Accounting experience is better English business level Able to use MS Office properly *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit https://www.persolkelly.co.th/ for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. ********************************** PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand"
GL Accounting (Senior/Assistant manager) - BTS Punnawithi - UP TO 65K+ !!,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Business Services & Corporate Advisory,Full time,,,"GL Accounting (Senior/Assistant manager) - BTS Punnawithi - UP TO 65K+ !! Position: GL Accounting (Senior/ Assistant manager) o Business: Distributor of electrical, industrial automation, oil and gas products, solutions and services. Working time/Day: 8: 0 0 – 17:00 / Mon – Fri Location : BTS Punnawithi Salary: 45K-65K++ Job responsibilities: Ensure Data Accuracy General ledger accountants check that data is accurate. They conduct audits to maintain truthful and precise data in documents. Analyze Financial Information Analyzing and interpreting financial information, general ledger accountants provide assurance that information complies with professional and regulatory standards. They ensure that data supports budgeting and forecasting requirements,and they provide solutions to control issues. Support Monthly and Annual Close Processes At the end of the month or year, general ledger accountants record information such as accrual, deferral, reclass, and interdepartmental entries into the company’s accounting ledger. They perform account analysis to make sure that entries and balances are correct. Reconcile Accounts on a regular basis, general ledger accountants reconcile accounts with the general ledger. They ensure that all entries are accurate and that transactions are reported in accordance with accounting standards and government regulations. When they find errors, they make changes as necessary. Prepare Journal Entries With appropriate supporting documentation, general ledger accountants prepare journal entries relating to amortization, depreciation, accruals,and a variety of other information. They ensure that entries align with generally accepted accounting principles. Support on cost accounting matter (not main role). Qualification: MUST Bachelor’s degree, major in accounting At least 2-3 year of experience in cost accountant or GL role in retail,wholesale, warehousing or logistics industry. Background in Audit firm is a big plus. At least 2 years of experience in Cost accounting English – Need to be good in written and listening, good speaking is a plus Proficient with computers and other standard office technology. Familiarity with ERP enterprise resource planning software. Superior organizational and communication skills. Interested candidates are invited to write in with full resume (MS Word or PDF), starting present and expected salaries, and enclosing a recent photograph to the address below: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 Thailand Only shortlist candidates will be contacted *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit https://www.persolkelly.co.th/ for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. ********************************** PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.27th Floor, Empire Tower 3, Unit 2707,1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand"
