Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Automotive Export Sale / After-sale / Sale Support  **more details in email**,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Client & Sales Administration,Full time,,,"Job Descriptions: Contact the existing partners or approach new partners to obtain necessary information Export sales • Monthly order taking coordinate with oversea customers and factory. Shipping document coordinate with forwarder agents and Government related (Excise tax and Land transport). Quarterly quotation issuance to overseas customers. Sales and production activities Consolidate order of every country and model, send order to factory for production capability checking. Create initial lots of information of New Model launching plan, send to factory to plan New Model delivery lead-time to customers. Summarize information with Domestic Sales Planning & Factory in order to balance between ordering and production capacity to achieve profit. Create daily production plan image of each model, sharing to Logistics team and Spare Parts team. Qualifications: Experience in export sales, Budget Planning, Forwarder management at least 1 year. Work experience in Automotive business is a plus Good in English (Equivalent TOEIC score at 650+). Good command of Microsoft office tools especially Excel & PowerPoint Program. *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. **By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. CONTACT: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. บริษัทจัดหางาน เพอร์ซอลเคลลี่ เอชอาร์ เซอร์วิสเซส (ประเทศไทย) จำกัด"
Business Support Associate (Office Admin),"Mccormick (Thailand) Co., Ltd.","Sathon, Bangkok",Administrative Assistants,Full time,,,"Position Summary Administrative assisting and Accounts Payable, in this field you'll play an important role in keeping an office running smoothly. Key Responsibilities Managing the day-to-day operations / admin activities of the office including in-house sourcing for equipment & supplies, planning/ scheduling and organize the meeting for management or visitor. Organizing and maintaining files and records including the company contract and license and alert the responsible person to renew / terminate the contract. Managing travel for employees (local & overseas) for ticket, accommodation and visa and guest arrangements include the visitor visa, transportation, meal, and accommodation etc. Lead the Company social event such as outside meeting, staff activity including preparing and editing correspondence, reports, and presentations. Payable management, Operator, Reception and Customs clearance process management. Desired Candidate Profile 2-3 Years in office administrator and accounts payable Proven ability to priorities and manage multiple activities and deadlines simultaneously. Proficient with MS applications. Ability to lead, participate and function effectively in collaborative, team environments. Ability to work independently with limited supervision. Have a good service mind and growth mindset. Detail oriented to make our office a great place to work for everyone. Benefits : 5 days work week, Provident fund, Group insurance, Annual check-up, bonus 2 times/year, flexible hours working, annual leave start 12 days, Development program and much more."
School Admin Mind Academy Bangna/เจ้าหน้าที่แอดมิน ประจำสาขา บางนา,MIND UNIVERSE COMPANY LIMITED,"Bang Phli, Samut Prakan",Administrative Assistants,Full time,,,"รายละเอียดงาน - ต้อนรับผู้ปกครองและนักเรียน เด็กเล็ก - ให้ข้อมูลรายละเอียดหลักสูตรการเรียน แนะนำคอร์สเรียนแก่ผู้ที่สนใจ - นัดหมายการทดลองเรียน - ดูแลนักเรียนและดูแลความเรียบร้อยโดยรวมภายในสถาบัน - ประสานงานสาขาต่าง ๆ เรื่องการหาเวลาเรียน ตรวจเช็คตารางเรียน - รับชำระค่าคอร์สเรียน จัดตารางเรียนและประสานงานระหว่างครูกับผู้ปกครอง - งานอื่น ๆ ที่ได้รับมอบหมาย คุณสมบัติผู้สมัคร **สามารถทำงานกับเด็กเล็กได้ 3 ขวบขึ้นไป** จบ ปริญญาตรีไม่จำกัดสาขา พิมพ์คล่องทั้งภาษาไทย ภาษาอังกฤษ และสามารถใช้โปรแกรม MS Word, Excel, PowerPoint บุคลิกดี ยิ้มแย้มแจ่มใส มีมนุษยสัมพันธ์ดี ใจเย็น รักเด็ก มีจิตสาธารณะ ซื่อสัตย์สุจริต มีทักษะในการสื่อสารและประสานงานที่ดี สามารถทำงานร่วมกับผู้อื่นได้ดี มีความอดทนต่อสภาวะแรงกดดันจากการทำงานได้เป็นอย่างดี สะดวก เต็มใจ และสามารถที่จะทำงานใน (วันเสาร์ อาทิตย์) ทำงาน 6 วัน มีความรับผิดชอบสูง ขยัน ตรงต่อเวลา และมีความละเอียดรอบคอบ หากมีประสบการณ์ด้านงานขาย จะพิจารณาเป็นพิเศษ พูดภาษาอังกฤษได้ จะพิจารณาเป็นพิเศษ ติดต่อครูกร 087-546-5704"
Accountant,Puraido Co Ltd,"Vadhana, Bangkok",Administrative Assistants,Full time,,,"SALARY 25000 to 40000 Welcome to an exciting career opportunity with our company! We are currently seeking a dedicated and skilled accountant to join our dynamic team. If you have a passion for numbers, attention to detail, and a commitment to financial accuracy, we invite you to explore this rewarding position with us. THEY HAVE THE CAPACITY TO Manage the financial affairs of our various companies at the local level. Daily procurement dealings with suppliers Handling petty cash disbursements Conducting daily bookkeeping Collaborating with assisting accountant firms. WEEKLY RESPONSIBILITIES Orchestrating Progress reports from the Philippine Accountant MONTHLY DUTIES Managing Monthly Payroll Submitting Social Security contribution. Submitting VAT reports Compiling Monthly Financial Reports Updating Monthly Projections for each of our Businesses Processing Rent Payments YEARLY ASSIGNMENTS Conducting Yearly Audits Preparing Monthly Projections for each of our Businesses Completing BOI Submission papers ADDITIONAL POINTS OF CONSIDERATION Bonus Points for Experience with Work Permits and BOI Oversight of Employee/Contract Management Handling Ad hoc tasks related to Government Instances CHECKLIST Follow up with tenants for overdue rent payments. Handle payroll management for our employees. Compile monthly rental income and expenses report"
Sales Administrator,"GREENLAND RUBY (THAILAND) CO., LTD.","Bang Rak, Bangkok",Administrative Assistants,Full time,,,"Responsibilities Order processing Preparing Invoices Preparing packing list and shipping documents Give e-mail support to overseas sales teams Assist supervisor in administrative tasks Qualifications: Bachelor’s degree in any field Working experience minimum of 3 years Able to communicate in English (reading and writing) Microsoft experience (Excel, Outlook) Pleasant personality, flexible team player, willing to learn Experience in Jewellery Industry is a plus"
Production and Women Empowerment Project Officer...,Kids Home Development Network Foundation,Chiang Mai,Administrative Assistants,Full time,20000,24999,"รายละเอียดงาน: ตำแหน่งงาน: เจ้าหน้าที่โครงการการผลิตและเสริมพลังสตรี (WEP) ประเภทของสัญญา: ตำแหน่งงานเต็มเวลา แผนก: แผนกโปรแกรม ที่ตั้ง: เชียงใหม่ ประเทศไทย วันที่เริ่มต้นที่คาดหวัง: โดยเร็วที่สุด ความรับผิดชอบหลักจะรวมถึงแต่ไม่จำกัดเฉพาะสิ่งต่อไปนี้: เจ้าหน้าที่โครงการมีหน้าที่รับผิดชอบในการประสานงานและจัดการกระบวนการผลิตสำหรับผู้ผลิต Dao Ethical Gifts (DEG) ระบุความต้องการในการฝึกอบรม และให้การสนับสนุนด้านการบริหารและลอจิสติกส์แก่ทีม Dao Women's Empowerment Program (DWEP) WEP - ความรับผิดชอบหลัก: เจ้าหน้าที่ฝึกอบรมการตัดเย็บและงานฝีมือ ทำงานภายใต้ผู้จัดการ WEP เจ้าหน้าที่ WEP - เจ้าหน้าที่ฝ่ายผลิตจะช่วยในการระบุความต้องการการฝึกอบรมและในการพัฒนาโปรแกรมการฝึกอบรมที่เหมาะสม การฝึกอบรมเพื่อตอบสนองความต้องการผู้หญิงที่ไม่มีทักษะ - การสร้างขีดความสามารถ ทำงานร่วมกับทีม WEP เพื่อจ้างผู้ผลิต Secondary Layers รายใหม่ ร่วมมือกับ WEP เพื่อให้แน่ใจว่ามีการผลิตตามบ้านด้วยการติดตั้งและการฝึกอบรมเวิร์กสเตชัน DAO EG - ความรับผิดชอบหลัก: การประสานงานการผลิต ประสานงานกับ Dao Ethical Gifts (DEG)/ DEG เจ้าหน้าที่ฝ่ายผลิต: ตามบันทึกความเข้าใจระหว่าง BDF และ DEG การสนับสนุนด้านความยั่งยืนของผู้หญิงที่เกี่ยวข้องกับโครงการ การปฏิบัติงานด้านการจัดการคำสั่งซื้อ ประสานงานและสร้างต้นแบบผลิตภัณฑ์และจำลองหากจำเป็น สร้างและดูแลรักษารายการตัวอย่างผลิตภัณฑ์และคำอธิบายเพื่อการประสานงานและการฝึกอบรมที่ง่ายดาย — จัดหาและซื้อวัสดุที่เหมาะสมโดยราคาและคุณภาพสอดคล้องกับผลประโยชน์สูงสุดของ DEG - ติดตามซัพพลายเออร์ภายนอกทั้งหมด) สร้างหรือปรับต้นทุนการผลิตที่ครอบคลุมสำหรับแต่ละผลิตภัณฑ์เมื่อจำเป็น (ทั้งต้นแบบและคำสั่งซื้อ) และแบ่งปันอย่างขยันขันแข็งกับทีมงาน DAO BKK และจัดเก็บไว้ในไฟล์ COP เพื่อให้ง่ายต่อการอ้างอิง (ใช้เทมเพลตแต่ติดตาม COP ทั้งหมดที่เชื่อมโยงกับผลิตภัณฑ์ทั้งหมด) ประสานงานและดูแลการฝึกอบรมผลิตภัณฑ์หากจำเป็น เข้าถึงผู้ผลิตและประสานงานปริมาณงานของผู้ผลิต (ตรวจสอบให้แน่ใจว่ามีผู้ผลิตเพียงพอ ประสานงานกับการกระจายงานของผู้ผลิตหลัก WEP และดำเนินการกับรองหากจำเป็น) ประสานงานและรับรองมาตรการควบคุมคุณภาพที่เข้มงวดตลอดขั้นตอนการผลิต - ประสานงานกระบวนการบรรจุคำสั่งซื้อ ประสานงานกระบวนการจัดส่ง (ในประเทศและต่างประเทศ) เพื่อตอบสนองความคาดหวังของลูกค้า (จัดทำและรักษาฐานข้อมูลที่ชัดเจนของบริษัทจัดจำหน่ายที่สอดคล้องกับความคาดหวังด้านเวลาและงบประมาณ การวางแผน/การจัดการผู้ผลิตและการจัดซื้อ ประสานงานด้านการบริหารและลอจิสติกส์กับผู้ผลิต DAO EG เพื่อให้มั่นใจว่าสอดคล้องกับนโยบายของ DEG รวมถึงสัญญาและขั้นตอนการชำระเงินสำหรับทั้งผู้ผลิตและซัพพลายเออร์ ตรวจสอบเอกสารการบริหารและการจ่ายเงินของผู้ผลิตอย่างสม่ำเสมอ (ติดตามความต้องการด้านเอกสารการบริหาร แต่ยังรวมถึงลำดับที่เกี่ยวข้องกับงานด้วย : ดูแลรักษาไฟล์ที่จัดระเบียบสำหรับผู้ผลิต DEG เพื่อให้มั่นใจว่ามีการรวบรวมข้อมูลงาน/ระดับ/ค่าตอบแทนที่แม่นยำ และเมื่อได้รับคำสั่งซื้อ ดูแลและประสานงานปริมาณงานของผู้ผลิต (รวมทั้งผู้ผลิตชั้นที่หนึ่งและชั้นที่สอง) จัดทำและรักษาแผนการผลิตและติดตามที่ชัดเจนและมีการคาดการณ์ที่มีประสิทธิภาพและประสิทธิผลเพื่อประสานงานการฝึกอบรมหากจำเป็น เข้าถึงผู้ผลิตชั้นรองรายใหม่หากจำเป็นเพื่อเพิ่มจำนวนกลุ่มผู้ผลิตทักษะ ซัพพลายเออร์/ สต็อกสินค้าและการจัดการสินค้าคงคลัง สร้างเครือข่ายซัพพลายเออร์ผ้าที่เชื่อถือได้ในเชิงรุก และสำรวจโอกาสในการระบุผ้าที่รีไซเคิล (จัดทำและดูแลรักษาฐานข้อมูลที่ครอบคลุมเพื่อให้อ้างอิงได้ง่าย) ประสานงานและรับรองการจัดการสินค้าคงคลัง อำนวยความสะดวกในการริเริ่มการฝึกอบรมผลิตภัณฑ์สำหรับผู้ผลิต DEG เพื่อให้มั่นใจว่าพวกเขามีอุปกรณ์ครบครันและได้รับข้อมูลเพื่อให้เป็นไปตามมาตรฐานคุณภาพและการผลิต ตรวจสอบให้แน่ใจว่าการตรวจสอบคุณภาพถูกรวมเข้ากับทุกขั้นตอนของขั้นตอนการผลิต โดยดูเเลกระบวนการผลิตตั้งแต่ต้นจนจบ คุณสมบัติ การศึกษา/ประสบการณ์: ใดๆ หรือเกี่ยวข้องกับตำแหน่งงาน ทักษะด้านภาษา: ทักษะภาษาไทย (ภาษาหลัก : สามารถฟัง พูด อ่าน และเขียนได้อย่างคล่องแคล่ว) และสามารถสื่อสารภาษาอังกฤษได้ (หากมีทักษะในการสื่อสารภาษาพม่าหรือภาษาไทยใหญ่ได้จะพิจารณาเป็นพิเศษ) ทักษะและประสบการณ์ มีประสบการณ์ในงานที่เกี่ยวข้องกับการเสริมพลังสตรี การสนับสนุนกรณีพิเศษ การพัฒนาสังคม การพัฒนาชุมชน และงานอื่นๆ ที่เกี่ยวข้อง มีประสบการณ์ในงานที่เกี่ยวข้องกับ SME, วิสาหกิจเพื่อสังคม, การขาย, การออกแบบแฟชั่น หรือการออกแบบผลิตภัณฑ์อื่น ๆ หากผู้สมัครมีทักษะในการตัดเย็บ มีประสบการณ์ด้านจักรเย็บผ้าหรืองานฝีมือ (จะพิจารณาเป็นพิเศษ) มีทักษะในการจัดกิจกรรมชุมชน โดยเฉพาะกับผู้หญิงและเด็ก ทักษะด้านคอมพิวเตอร์ : MS และซอฟต์แวร์การออกแบบอื่นๆ หากผู้สมัครมีประสบการณ์การทำงานกับ NPO หรือภาคประชาสังคม จะถือเป็นทรัพย์สิน ทักษะและความสามารถอื่นๆ: กระตือรือร้น สร้างสรรค์ และสามารถจัดกิจกรรมให้กับเด็กและครอบครัวได้ มีความสามารถในการทำงานอย่างอิสระและทำงานในองค์กรที่มีความหลากหลายทางวัฒนธรรม มีความสามารถในการทำงานภายใต้ความกดดันและตรงต่อเวลา มีความสามารถในการให้และรับข้อเสนอแนะอย่างสร้างสรรค์ รวมถึงมีทักษะในการสื่อสารที่ดี มีทัศนคติเชิงบวกและมีความยืดหยุ่นในการทำงาน เป็นคนที่เชื่อถือได้และเคารพวัฒนธรรมที่แตกต่าง วิธีการสมัคร: (สำคัญ) หากคุณสนใจที่จะสมัครตำแหน่งนี้ กรุณาส่งใบสมัครทั้งหมดเป็นภาษาอังกฤษ CV (เรซูเม่) ชื่อและรายละเอียดการติดต่อของข้อมูลอ้างอิงทั้งสองรายการ และจดหมายสมัครงานที่อธิบายความสนใจของคุณในตำแหน่งและความเชี่ยวชาญที่เกี่ยวข้องไปที่ *** สำคัญ: จะพิจารณาเฉพาะใบสมัครที่ครบถ้วนเท่านั้น (เรซูเม่ + จดหมายสมัครงานที่เกี่ยวข้องกับแรงจูงใจและความเกี่ยวข้องกับตำแหน่งนี้) *** เฉพาะผู้สมัครที่มีรายชื่อสั้นเท่านั้นที่จะได้รับการติดต่อเพื่อสัมภาษณ์เป็นภาษาอังกฤษ โปรดทราบว่าใบสมัครจะได้รับการตรวจสอบตามลำดับ และตำแหน่งจะยังคงเปิดอยู่จนกว่าจะมีการคัดเลือกผู้สมัครที่มีคุณสมบัติเหมาะสม  โปรดทราบว่าใบสมัครจะได้รับการตรวจสอบตามลำดับและตำแหน่งจะยังคงโพสต์อยู่จนกว่าจะมีการคัดเลือกผู้สมัครที่มีคุณสมบัติเหมาะสม โอกาสที่เท่าเทียมกัน: มูลนิธิบ้านเด็กเป็นนายจ้างที่ให้โอกาสที่เท่าเทียมกัน องค์กรจะไม่กลับมาเลือกปฏิบัติและจะใช้มาตรการยืนยันเพื่อให้แน่ใจว่ามีการเลือกปฏิบัติในการโฆษณาการจ้างงาน การสรรหา และเงื่อนไขการจ้างงานอื่น ๆ ป้องกันการเลือกปฏิบัติต่อผู้สมัครงานหรือลูกจ้างบนพื้นฐานของเชื้อชาติ สีผิว เพศ ชาติกำเนิด อายุ , ศาสนา, ลัทธิความเชื่อ, ความพิการ, รสนิยมทางเพศ, อัตลักษณ์ทางเพศ หรือการแสดงออกทางเพศ การคุ้มครองเด็ก: เพื่อให้เป็นไปตามนโยบายการคุ้มครองและปกป้องเด็กของ BDF ผู้สมัครที่ได้รับการคัดเลือกจะถูกขอสำเนาประวัติอาชญากรรมของเขา/เธอ (หรือใบรับรองการกวาดล้าง) และผู้ติดต่ออ้างอิงทางวิชาชีพ 2 คน การปฏิบัติตามนโยบายของ BDF หมายถึงการปฏิบัติตามนโยบายการคุ้มครองและปกป้องเด็กของเรา , นโยบาย PSEA, นโยบายต่อต้านการทุจริต การคุ้มครองข้อมูลส่วนบุคคล: เพื่อให้สอดคล้องกับพระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคลของประเทศไทย (PDPA) และนโยบายความเป็นส่วนตัวของ BDF ก่อนส่งใบสมัครของคุณ โปรดอ่านประกาศความเป็นส่วนตัว BDF Privacy Notice(Ex) [link removed]  โดยการส่งใบสมัครของคุณ คุณยินยอมให้มีการรวบรวมและประมวลผลข้อมูลส่วนบุคคลและข้อมูลละเอียดอ่อนของคุณซึ่งปรากฏใน CV/เรซูเม่ของคุณและเอกสารอื่น ๆ เพื่อวัตถุประสงค์ในการสรรหาบุคลากรและการตรวจสอบการอ้างอิง"
Executive Secretary (for Management),Krungthai-AXA Life Public Company Limited ,"Huai Khwang, Bangkok","PA, EA & Secretarial",Full time,,,"Responsibilities: Gather and compiles information as requested; prepares related reports or documents. Compose routine letters and replies based on general instructions Utilize office equipment including, but not limited to computer and related equipment, calculator, and duplicating equipment. Prepare budget as provided template and assist in expense control of relating cost center. Coordinate with internal department functions and encourage them to take part in company events. Ensure that all dept. staff is kept informed of any necessary information Qualifications: Bachelor degree or higher in any fields 3-5 years of working experience in Secretary Fluent in English Computer literate Ability to work individually and meet deadlines Customer service mind Team player works in collaboration with colleagues Self motivated with initiative, achievement oriented and adaptability Ability to work under pressure Work efficiently and accurately to ensure good performance"
Car Registration Officer @BKK area,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Administrative Assistants,Full time,,,"Position: Car Registration Officer Location: Rasa Tower Business: Leasing, Hire Purchase Job Description Process of tax renewal of car completely and submit to customer before tax expire Coordinate with car registration broker for special requirement from Marketing and customer which related to registration task Follow up customer who do car registration by themselves to complete tax renewal Custody and well organize of car registration book and do stock checking as schedule Calculate and inform FAD to prepare cost and cheque of tax renewal for Department of Land Transportation (DLT) Check invoice from broker and ask for approval before submit to FAD Make monthly report of car registration task to management Prepare data of car registration from scan file to support LINE OA Custody, data record and scan of registration book, customer request, customer received document to support customer request Coordinate with Car Auction section to provide registration book of sold car NOTE: 100% handle on large amount of paperwork/document MUST Bachelor's degree in Business Administration, or related field 1 year’ experience in asset management or registration management Having background in asset management, insurance, or car and machinery registration Good command of MS Office, especially MS Excel Basic skill in English, able to handle English documents and e-mail responses ***All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit https://www.persolkelly.co.th/ for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. *** PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. 27th Floor, Empire Tower 3, Unit 2707, 1 South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 | Thailand Contact Person: Phattaraporn Suphattanawat (Jenny) Consultant, Japan Desk M (+66) 82 450 5482"
Assistant to Sales Director,"Wine Pro Co., Ltd.","Vadhana, Bangkok","PA, EA & Secretarial",Full time,30000,34999,"Responsibilities: -          Maintain records of sales trends, sales activities tracking and report. -          Monitor and report key performance indicators. -          Assist in preparing and scheduling meetings, trainings, travel arrangements, expenses claim and hiring process. -          Collect and coordinate product bookings, transfers, samples and inventory questions. -          Update customer database, AR/Ageing, MKT tools, -          Translate from English to Thai all guidelines, official memos and internal communications. -          Communicate with existing clients. -          Perform other related duties as assigned. Qualifications: -          Thai Nationals only. -          Previous experience in Sales support, Sales Coordinator / Administrator, Assistant to Sales Department. -          Excellent command of written and spoken English & Thai. -          Good computer and communication skills. -          Well organized and reactive."
Personal Assistant to MD,"ING CK CO., LTD.","Huai Khwang, Bangkok","PA, EA & Secretarial",Full time,,,"Role & Responsibility Job Summary : We are seeking a highly organized and proactive Personal Assistant with exceptional multitasking and communication skills to support our CEO in their day-to-day activities. This role encompasses various responsibilities, including managing appointments, acting as a liaison with stakeholders, maintaining project progress, and handling confidential documents. Additionally, the role involves occasional Project Coordinator duties, which require effective project management and coordination skills. Personal Assistance (50%) Schedule Management: Efficiently manage the CEO's appointments and meetings, ensuring alignment with their daily routines and tasks. Daily Support: Collaborate closely with the CEO, providing assistance with various tasks and assignments as needed. Stakeholder Communication: Serve as a point of contact on behalf of the CEO, facilitating interactions with stakeholders and partners. Meeting Support: Record meeting minutes and closely monitor project progress, proactively addressing any issues to prevent stagnation. Document Preparation: Prepare confidential and urgent documents, ensuring that all information is accurate and up-to-date. Priority Handling: Address concerns and matters based on their level of priority and confidentiality, maintaining a high level of discretion. Miscellaneous Support: Provide assistance in various personal aspects that may vary based on specific situations and needs. Project Coordinator (50%) Project Coordination : Coordinate project management activities, including resource allocation, equipment, and information dissemination. Project Planning : Break down projects into actionable tasks and establish timeframes to ensure project goals are met. Requirements Definition : Collaborate with the CEO to identify and define project requirements, scope, and objectives. Task Assignment : Assign project tasks to internal teams and assist in schedule management to ensure efficient execution. Communication : Act as the primary point of contact for all project participants and maintain open communication regarding project status. Documentation: Create and maintain comprehensive project documentation, including plans and reports, to track project progress. Issue Resolution : Monitor project progress and promptly address any issues or challenges that may arise during the course of projects. Qualifications Bachelor’s degree or higher in Business, Marketing, or related fields. 3 -7 years in Secretary/Personal Assistant roles. Strong communication and presentation skills. Proficient in Thai and English languages, written and spoken. Possess strong analytical, problem-solving, organizational, and problem-solving skills. Proficiency with Microsoft Office. Solid organizational skills including attention to detail and multitasking skills."
HR & Admin - Site Manager (Chiangmai),Gulf Energy Development Public Company Limited,Chiang Mai,Administrative Assistants,Full time,,,"Job Responsibilities: Responsible for full functions of Human Resource and Administration. Conducting recruitment and selection process. Implement a human resources plan and policies and procedures Conducting payroll to ensure employees are remunerated in accordance with the company’s policy Preparing human resources reports and ensuring staff records are maintained. Managing administration jobs such as stationery control, the maid, security guards, maintenance and purchasing Handling and monitoring petty cash for site/office necessary needs. Purchasing all facilities/equipment for company. Job Qualifications: Bachelor's degree or higher in Business Administration or related fields. Minimum  years' experience in administration or related fields. Experience in construction work, power plant would be an advantage. Being proactive with good personality, ability to work under pressure and good communication skills. Good personality, attitude, and interpersonal skills. Fluent in English both written and verbal (Minimum 500 TOEIC score). Able to work upper country in long term. Goal–Oriented, Unity, Learning, Flexible. Interested person, please submit your resume via online system or click ""APPLY NOW"" All applications will be strictly confidential, and will be kept for at least 1 year. Only shortlist candidates will be notified. Gulf Energy Development Public Company Limited 11th Fl., M Thai Tower, All Seasons Place, 87 Wireless Rd., Lumpini, Pathumwan, Bangkok 10330 Website : www.gulf.co.th"
Engineering Bidding / Proposals Coordinator / Engineer,CUEL Limited,"Chatuchak, Bangkok",Administrative Assistants,Full time,,,"Steel fabrication business for oil & gas industry BTS Ratchayothin 5 days working week & Hybrid Responsibilities Prepare tender package both technical and commercial in soft and hard copy according to client requirement and delivery it on time Control all internal and external documents/correspondences and upload/download all relevant documents on tender project website. When project awarded, prepare a tender hand-over package to project management department. Support daily work for proposals group by providing general administrative services. Qualifications Bachelor’s degree in any fields. 5 years in Oil and Gas construction industry is preferred Effective communication skills both in Thai and English. Ability to manage multiple works and priorities Computer software for excel, power point, word Please send application with current and expected salary Only short-listed candidates will be contacted for interview. Interested persons, please send application with current and expected salary"
Administrative Assistant,"MDPI (Thailand) Co., Ltd.","Huai Khwang, Bangkok",Administrative Assistants,Full time,,,"Responsibilities: Ensure professional services at the reception desk (welcome visitors, receive/transfer incoming calls, etc.) Assist employees with administration queries (e.g., attendance, work time, personal leave, etc.) Provide support with the administration of employee benefits (pension, health insurance, social insurance, etc.) Provide support and data to the accountant for the payroll process (e.g., track working hours, absences, etc.) Ensure an accurate follow-up of all admin-related payments and invoices Provide support to employees and visitors to arrange meetings and travels Participate actively in the organization of staff events and activities (e.g., book restaurants, lunches, off-site locations, etc.) Maintain internal systems, including data management Organize office and other public areas When required, perform other duties as assigned Requirements: 25–35 years old > 1-year experience Bachelor’s Degree Able to communicate in English Computer literacy. Being familiar with Excel pivot table and/or Vlookup will be a plus Good knowledge of admin processes in general Ability to act with confidentiality and professionalism Proactive mindset and readiness to work in a fast-paced environment Ability to prioritize and work independently Demonstrated ability to establish effective and cooperative working relationships built on trust Benefits: Flexible working hours Laptop provided 5 working days a week Annual bonus Position allowance Tutorship and tutor allowance Group health insurance Social security Annual physical exam New member physical exam Paid annual leave Team activity fund, snacks, and birthday activity fund Work Location: 26th & 27th floors, The Ninth Towers Grand Rama 9"
Administrative Officer/เจ้าหน้าที่ฝ่ายธุรการและประสานงานทั่วไป,บริษัท เอนี่เพย์ จำกัด,"Bang Rak, Bangkok",Administrative Assistants,Full time,,,** ด่วน ** คุณสมบัติ มีไหวพริบสามารถจัดการงานเอกสารได้ดี เงินเดือนขึ้นอยู่กับประสบการณ์ ไม่จำกัดวุฒิการศึกษา หน้าที่รับผิดชอบ ทำใบเสนอราคา เอกสารเทียบราคา จัดทำจดหมาย เอกสาร หรือรายงานตามที่ได้รับมอบหมาย จัดทำรายงานการประชุม รวบรวมบิลค่าใช้จ่าย ติดต่อธนาคาร ยื่นเอกสาร หน้าที่ทั่วไปของธุรการ
"Accounting & Administrative (Workplace around BTS Prakanong, Bangkok)",JAC Recruitment Thailand,Bangkok,Accounts Officers/Clerks,Full time,,,"The Company is Japanese business, at this moment, seeking for an experienced candidate to join as Accounting & Administrative (Workplace around BTS Prakanong, Bangkok) Position :           Accounting & Administrative Location: BTS Prakanong,  Bangkok Business: Trading Working hour: Monday – Friday, 8.30 AM – 17.30 PM Job Description Responsible for admin, sales coordinator, document control. Handling accounting tasks, payment process, check and process internal accounting document, expenses claim. Check and process Invoice from customer or supplier, Tax process, contact with accounting firm. Making and process internal document. Check tax invoices from suppliers. Check withholding tax statements received from suppliers. Issue invoices or tax invoices when sales are made. Calculate the amount of payment after deducting withholding tax when making payments to suppliers. Other tasks as assigned by Manager. Qualification This position, Salary around  20,000 – 25,000 THB Welcoming Thai Welcoming fresh graduation. Experience in Accounting. Can start working immediately will be advantage. Graduate in institution of education level, bachelor’s degree or higher in Accounting. Ability to communicate in English with foreign boss. Able to use computer literacy in MS Office, Excel Able to travel to work around BTS Prakanong, Bangkok. Interested candidate, please send your resume in English only along with your recent photo and expected salary to us by E-mail JAC Personnel Recruitment Ltd 10F Emporium Tower  622 Sukhumvit Soi 24 Klongton, Klongtoey, Bangkok 10110 Contact : K. Suksan Pancharoensak (Arm) Office Number: 02-261-1270 Time: 9.00 am - 6.00 pm Website : https://www.jac-recruitment.co.th [link removed]"
